AnyID,lat,lon
279,33.08808,-79.81854
280,32.93654,-80.32201
281,31.86412,-89.57866
282,31.84362,-89.59388
283,33.38809,-79.91451
284,31.9118,-89.78103
285,33.50197,-79.51998
286,33.50197,-79.51998
287,33.91432,-81.09205
288,33.1433,-79.777
289,33.33645,-80.18655
290,32.61677,-86.2006
291,33.21048,-88.03983
292,33.19261,-81.9854
293,32.35679,-86.4249
294,32.46819,-92.74233
295,35.57906,-79.21367
296,32.99149,-89.27329
297,31.72782,-89.71421
298,31.97605,-86.53793
299,33.7209,-80.80702
300,32.0842,-86.96641
301,32.37219,-83.53705
302,32.31695,-89.01135
303,31.8923,-90.85562
304,32.80982,-80.38262
305,32.87812,-80.23001
306,32.79589,-80.79709
307,32.79433,-80.84536
308,31.8072,-86.5082
309,33.95275,-79.39296
310,32.80959,-80.3926
311,33.9173,-78.74369
312,34.82856,-81.50507
313,32.74782,-87.73794
314,34.40818,-93.35012
315,33.1003,-79.4871
316,34.20534,-95.53754
317,33.23627,-79.31833
318,33.2583,-80.5104
319,33.24421,-80.50408
320,33.94109,-78.84954
321,32.1881,-90.39408
322,33.87101,-79.08266
323,33.12223,-86.69693
324,32.88949,-79.77249
325,33.1521,-80.11
326,33.09519,-80.1962
327,32.52452,-93.21264
328,32.8778,-91.46279
329,33.01764,-79.59524
330,33.08373,-80.47286
331,33.09181,-89.19065
332,34.28518,-81.26822
333,33.5528,-79.27414
334,33.92207,-78.38111
335,32.00406,-87.71818
336,32.91574,-80.17421
337,32.75239,-80.35042
338,33.3416,-79.53329
339,32.03792,-86.85719
340,32.03791,-86.85674
341,32.79713,-80.40922
342,32.76709,-80.412
343,33.9404,-78.77629
344,32.71261,-85.55623
345,32.7521,-80.43253
346,32.68837,-80.48175
347,32.82087,-93.21126
348,32.79899,-80.40029
349,32.93026,-80.35751
350,33.08341,-80.62882
351,33.0105,-79.81729
352,33.09169,-79.446
353,33.24273,-79.81007
354,33.25719,-79.64496
355,32.78736,-80.38887
356,31.99157,-88.56742
357,32.8785,-80.37499
358,32.9174,-80.33599
359,31.82038,-88.03747
360,32.4327,-83.57848
361,33.3654,-80.27467
362,33.08633,-80.11586
363,33.10639,-80.00384
364,33.14859,-79.84201
365,33.14633,-79.9168
366,33.13907,-80.09635
