id,address,city,state,zip,newzip,ziplat,ziplon,zip_geo_city,zip_status,lat,lon,time
137,2115 N WILMINGTON AVENUE,COMPTON,CA,90222-2030,90222,33.91,-118.24,Compton,ZIP5_uszipcode,33.911871,-118.239493,2020-08-20 21:58:46.344462
138,4112 E OLYMPIC BLVD,LOS ANGELES,CA,90023-3313,90023,34.02,-118.2,Los Angeles,ZIP5_uszipcode,34.018365,-118.185242,2020-08-20 21:58:46.625658
139,2120 2ND AVENUE,LOS ANGELES,CA,90018-1256,90018,34.03,-118.32,Los Angeles,ZIP5_uszipcode,34.03734,-118.31855333,2020-08-20 21:58:46.859989
140,1809 S VAN NESS AVENUE,LOS ANGELES,CA,90019-6257,90019,34.05,-118.34,Los Angeles,ZIP5_uszipcode,34.04132,-118.316748,2020-08-20 21:58:47.094321
141,7615 HOLLYWOOD BLVD,LOS ANGELES,CA,90046-2709,90046,34.11,-118.37,Los Angeles,ZIP5_uszipcode,34.101917,-118.355519,2020-08-20 21:58:47.406768
142,4454 VAN NUYS BLVD,SHERMAN OAKS,CA,91403-2912,91403,34.15,-118.46,Sherman Oaks,ZIP5_uszipcode,34.152541,-118.447511,2020-08-20 21:58:47.656714
143,903 N HOBART BLVD,LOS ANGELES,CA,90029-3255,90029,34.09,-118.29,Los Angeles,ZIP5_uszipcode,34.086397,-118.305373,2020-08-20 21:58:47.906669
144,926 S GRANDEE AVENUE,COMPTON,CA,90220-4263,90220,33.87,-118.24,Compton,ZIP5_uszipcode,33.887679,-118.24166,2020-08-20 21:58:48.156620
145,625 W VERNON AVENUE #1 4,LOS ANGELES,CA,90037-2611,90037,34.0,-118.29,Los Angeles,ZIP5_uszipcode,34.003935,-118.28503,2020-08-20 21:58:48.469059
146,7216 S HOOVER STREET #A D,LOS ANGELES,CA,90044-6162,90044,33.95,-118.29,Los Angeles,ZIP5_uszipcode,33.973951,-118.286843,2020-08-20 21:58:48.719014
147,1317 W 39TH STREET,LOS ANGELES,CA,90062-1244,90062,34.0,-118.31,Los Angeles,ZIP5_uszipcode,34.01576017,-118.300811,2020-08-20 21:58:48.968966
148,10213 S MAIN STREET #A C,LOS ANGELES,CA,90003-4621,90003,33.96,-118.27,Los Angeles,ZIP5_uszipcode,33.943329,-118.274265,2020-08-20 21:58:49.234542
149,805 E 47TH STREET,LOS ANGELES,CA,90011-5426,90011,34.01,-118.26,Los Angeles,ZIP5_uszipcode,34.000919,-118.261407,2020-08-20 21:58:49.609470
150,2000 IVAR AVENUE,LOS ANGELES,CA,90068-3960,90068,34.13,-118.33,Los Angeles,ZIP5_uszipcode,34.107227,-118.328089,2020-08-20 21:58:49.859424
151,1935 S LA SALLE AVENUE,LOS ANGELES,CA,90018-1663,90018,34.03,-118.32,Los Angeles,ZIP5_uszipcode,34.03918617,-118.3026755,2020-08-20 21:58:50.171865
152,7020 TREASURE TRAIL,LOS ANGELES,CA,90068-1840,90068,34.13,-118.33,Los Angeles,ZIP5_uszipcode,34.124008,-118.346534,2020-08-20 21:58:50.406194
153,8383 WILSHIRE BLVD #450,BEVERLY HILLS,CA,90211-2424,90211,34.065,-118.381,Beverly Hills,ZIP5_uszipcode,34.065015,-118.373412,2020-08-20 21:58:50.703015
154,2700 SAN MARINO STREET #309,LOS ANGELES,CA,90006-1838,90006,34.05,-118.29,Los Angeles,ZIP5_uszipcode,34.05482833,-118.28691833,2020-08-20 21:58:50.968587
155,2600 MISSION STREET SUITE #206,SAN MARINO,CA,91108-1676,91108,34.12,-118.12,San Marino,ZIP5_uszipcode,34.115934,-118.137568,2020-08-20 21:58:51.234164
156,3051 W PICO BLVD,LOS ANGELES,CA,90006-3803,90006,34.05,-118.29,Los Angeles,ZIP5_uszipcode,34.047365,-118.307677,2020-08-20 21:58:51.499737
157,1031 S BROADWAY #934,LOS ANGELES,CA,90015-4015,90015,34.04,-118.27,Los Angeles,ZIP5_uszipcode,34.040521,-118.25839,2020-08-20 21:58:51.765314
158,13561 DESMOND STREET,PACOIMA,CA,91331-2316,91331,34.26,-118.42,Pacoima,ZIP5_uszipcode,34.275561,-118.428278,2020-08-20 21:58:51.984023
159,6723 BANDA AVENUE,PARAMOUNT,CA,90723-3738,90723,33.9,-118.17,Paramount,ZIP5_uszipcode,33.891139,-118.179519,2020-08-20 21:58:52.233976
160,5446 CLEON AVENUE,N HOLLYWOOD,CA,91601-2833,91601,34.17,-118.37,North Hollywood,ZIP5_uszipcode,34.169946,-118.368299,2020-08-20 21:58:52.515172
161,8336   TUNNEY AVENUE,NORTHRIDGE,CA,91324-4261,91324,34.24,-118.55,Northridge,ZIP5_uszipcode,34.221453,-118.556522,2020-08-20 21:58:52.765124
162,5901 OAKDALE AVENUE,WOODLAND HILLS,CA,91367-5619,91367,34.17,-118.62,Woodland Hills,ZIP5_uszipcode,34.177493,-118.566154,2020-08-20 21:58:53.046322
163,4556 VISTA DEL MONTE AVENUE,SHERMAN OAKS,CA,91403-2929,91403,34.15,-118.46,Sherman Oaks,ZIP5_uszipcode,34.154619,-118.449546,2020-08-20 21:58:53.296275
164,7105 COSTELLO AVENUE,VAN NUYS,CA,91405-3308,91405,34.2,-118.45,Van Nuys,ZIP5_uszipcode,34.199608,-118.438113,2020-08-20 21:58:53.624342
165,533 IRVING DRIVE,BURBANK,CA,91504-2410,91504,34.21,-118.33,Burbank,ZIP5_uszipcode,34.201523,-118.326415,2020-08-20 21:58:53.827425
166,1905 VICTORY BLVD #10,GLENDALE,CA,91201-4031,91201,34.17,-118.29,Glendale,ZIP5_uszipcode,34.164398,-118.303858,2020-08-20 21:58:54.061758
167,9218 NATICK AVENUE,NORTH HILLS,CA,91343-3422,91343,34.24,-118.48,North Hills,ZIP5_uszipcode,34.237868,-118.45758,2020-08-20 21:58:54.405440
168,15760 VENTURA BLVD #1900,ENCINO,CA,91436-,91436,34.15,-118.49,Encino,ZIP5_uszipcode,34.154812,-118.476579,2020-08-20 21:58:54.624149
169,12611 ROSY CIRCLE,LOS ANGELES,CA,90066-6928,90066,34.0,-118.43,Los Angeles,ZIP5_uszipcode,33.982524,-118.420441,2020-08-20 21:58:54.827243
170,4825 ADELE COURT,WOODLAND HILLS,CA,91364-4703,91364,34.15,-118.6,Woodland Hills,ZIP5_uszipcode,34.158552,-118.57202,2020-08-20 21:58:55.061567
171,938 CHUNG KING ROAD,LOS ANGELES,CA,90012-1711,90012,34.06,-118.24,Los Angeles,ZIP5_uszipcode,34.065665,-118.23851,2020-08-20 21:58:55.342764
172,10474 SANTA MONICA BLVD #400,LOS ANGELES,CA,90025-6932,90025,34.05,-118.44,Los Angeles,ZIP5_uszipcode,34.055535,-118.425996,2020-08-20 21:58:55.592716
173,8721 SANTA MONICA BLVD #710,LOS ANGELES,CA,90069-4507,90069,34.09,-118.38,West Hollywood,ZIP5_uszipcode,34.0874,-118.380831,2020-08-20 21:58:55.945752
174,1801 MICHELTORENA STREET,LOS ANGELES,CA,90026-1129,90026,34.08,-118.26,Los Angeles,ZIP5_uszipcode,34.093216,-118.272511,2020-08-20 21:58:56.236986
175,1632 N LAUREL AVENUE #105,LOS ANGELES,CA,90046-2538,90046,34.11,-118.37,Los Angeles,ZIP5_uszipcode,34.100869,-118.363795,2020-08-20 21:58:56.505281
176,16311 VENTURA BLVD #880,ENCINO,CA,91436-4335,91436,34.15,-118.49,Encino,ZIP5_uszipcode,34.157544,-118.488486,2020-08-20 21:58:56.801786
177,15915 VENTURA BLVD #100,ENCINO,CA,91436-2738,91436,34.15,-118.49,Encino,ZIP5_uszipcode,34.156219,-118.479848,2020-08-20 21:58:56.996592
178,815 HOLLY OAK PLACE,MONTEREY PARK,CA,91755-5713,91755,34.05,-118.11,Monterey Park,ZIP5_uszipcode,34.042598,-118.109581,2020-08-20 21:58:57.277791
179,635 CREST VISTA DRIVE,MONTEREY PARK,CA,91754-3757,91754,34.05,-118.15,Monterey Park,ZIP5_uszipcode,34.055482,-118.140514,2020-08-20 21:58:57.480877
180,6052 GOLDEN WEST AVENUE,TEMPLE CITY,CA,91780-1718,91780,34.1,-118.05,Temple City,ZIP5_uszipcode,34.110622,-118.056951,2020-08-20 21:58:57.838702
